Refers to  CSD main doc / TechSpec 	CSD Customer Version (initial start) 	Date Raised (MM/DD/YYYY)	CSD Clause or TechSpec Section	Section Heading	System Value/Parameter	Kyndryl RECOMMENDED VALUE	CLIENT AGREED "WEAKER THAN" VALUE	Security Rationale
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.1.1.1.1	Configure Filesystem Kernel Modules	Ensure cramfs kernel module is not available.	Disable filesystem type.	Disable filesystem type.	Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.1.1.1.2	Configure Filesystem Kernel Modules	Ensure freevxfs kernel module is not available.	Disable filesystem type.	Disable filesystem type.	Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.1.1.1.3	Configure Filesystem Kernel Modules	Ensure hfs kernel module is not available.	Disable filesystem type.	Disable filesystem type.	Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.1.1.1.4	Configure Filesystem Kernel Modules	Ensure hfsplus kernel module is not available.	Disable filesystem type.	Disable filesystem type.	Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.1.1.1.5	Configure Filesystem Kernel Modules	Ensure jffs2 kernel module is not available.	Disable filesystem type.	Disable filesystem type.	Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.1.1.1.6	Configure Filesystem Kernel Modules	Ensure usb-storage kernel module is not available.	USB-storage module should be disabled.	USB-storage module should be disabled.	Restricting USB access on the system will decrease the physical attack surface for a device and diminish the possible vectors to introduce malware.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.1.1.2.1.1	Configure /tmp	Ensure /tmp is a separate partition.	Mount tmpfs to /tmp, or create a separate partition for /tmp .	Mount tmpfs to /tmp, or create a separate partition for /tmp .	"Making `/tmp` its own file system allows an administrator to set additional mount options such as the `noexec` option on the mount, making `/tmp` useless for an attacker to install executable code. It would also prevent an attacker from establishing a hard link to a system `setuid` program and wait for it to be updated. Once the program was updated, the hard link would be broken, and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw.

This can be accomplished by either mounting `tmpfs` to `/tmp`, or creating a separate partition for `/tmp`."
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.1.1.2.1.2	Configure /tmp	Ensure nodev option set on /tmp partition.	"If a /tmp partition does not exist, this control does not apply. Otherwise:
Set the `nodev` mount option to specify that the filesystem cannot contain special devices."	"If a /tmp partition does not exist, this control does not apply. Otherwise:
Set the `nodev` mount option to specify that the filesystem cannot contain special devices."	Since the `/tmp` filesystem is not intended to support devices, set this option to ensure that users cannot create a block or character special devices in `/tmp`.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.1.1.2.1.3	Configure /tmp	Ensure nosuid option set on /tmp partition.	"If a /tmp partition does not exist, this control does not apply. Otherwise:
Set the `nosuid` mount option to specify that the filesystem cannot contain `setuid` files."	"If a /tmp partition does not exist, this control does not apply. Otherwise:
Set the `nosuid` mount option to specify that the filesystem cannot contain `setuid` files."	Since the `/tmp` filesystem is only intended for temporary file storage, set this option to ensure that users cannot create `setuid` files in `/tmp`.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.1.1.2.1.4	Configure /tmp	Ensure noexec option set on /tmp partition.	"""If a /tmp partition does not exist, this control does not apply. Otherwise:
Set the `noexec` mount option to specify that the filesystem cannot contain executable binaries.""."	"""If a /tmp partition does not exist, this control does not apply. Otherwise:
Set the `noexec` mount option to specify that the filesystem cannot contain executable binaries.""."	Since the `/tmp` filesystem is only intended for temporary file storage, set this option to ensure that users cannot run executable binaries from `/tmp`.
